State,Abbreviation,Capital,No Non-Resident Violator Compact,No Drivers License Compact
Alaska,AK,Juneau,Alaska,
California,CA,Sacramento,California,
Michigan,MI,Lansing,Michigan,Michigan
Montana,MT,Helena,Montana,
Oregon,OR,Salem,Oregon,
Wisconsin,WI,Madison,Wisconsin,Wisconsin
Alabama,AL,Montgomery,,
Arizona,AZ,Phoenix,,
Arkansas,AR,Little Rock,,
Colorado,CO,Denver,,
Connecticut,CT,Hartford,,
Delaware,DE,Dover,,
Florida,FL,Tallahassee,,
Georgia,GA,Atlanta,,Georgia
Hawaii,HI,Honolulu,,
Idaho,ID,Boise,,
Illinois,IL,Springfield,,
Indiana,IN,Indianapolis,,
Iowa,IA,Des Moines,,
Kansas,KS,Topeka,,
Kentucky,KY,Frankfort,,
Louisiana,LA,Baton Rouge,,
Maine,ME,Augusta,,
Maryland,MD,Annapolis,,
Massachusetts,MA,Boston,,Massachusetts
Minnesota,MN,Saint Paul,,
Mississippi,MS,Jackson,,
Missouri,MO,Jefferson City,,
Nebraska,NE,Lincoln,,
Nevada,NV,Carson City,,
New Hampshire,NH,Concord,,
New Jersey,NJ,Trenton,,
New Mexico,NM,Santa Fe,,
New York,NY,Albany,,
North Carolina,NC,Raleigh,,
North Dakota,ND,Bismarck,,
Ohio,OH,Columbus,,
Oklahoma,OK,Oklahoma City,,
Pennsylvania,PA,Harrisburg,,
Rhode Island,RI,Providence,,
South Carolina,SC,Columbia,,
South Dakota,SD,Pierre,,
Tennessee,TN,Nashville,,Tennessee
Texas,TX,Austin,,
Utah,UT,Salt Lake City,,
Vermont,VT,Montpelier,,
Virginia,VA,Richmond,,
Washington,WA,Olympia,,
West Virginia,WV,Charleston,,
Wyoming,WY,Cheyenne,,
