1,,speeding ticket,"""speeding ticket""",speeding tickets,"""speeding tickets""",traffic ticket,"""traffic ticket""",traffic tickets,"""traffic tickets""",,Total Score,Average
2,Florida,69,69,66,61,100,100,94,98,,657,82.13
3,Georgia,100,100,92,87,53,48,54,55,,589,73.63
4,Nevada,63,65,64,58,71,68,100,100,,589,73.63
5,Texas,80,84,72,71,55,53,75,80,,570,71.25
6,Alabama,72,74,82,78,52,53,64,68,,543,67.88
7,Missouri,77,79,83,79,46,42,61,63,,530,66.25
8,New York,74,76,67,64,53,48,70,68,,520,65
9,North Carolina,95,100,84,83,35,32,35,34,,498,62.25
10,District of Columbia,74,76,72,68,44,41,57,55,,487,60.88
11,New Jersey,72,72,63,59,49,46,57,56,,474,59.25
12,Louisiana,70,70,72,68,44,40,56,53,,473,59.13
13,Arizona,73,71,76,66,45,41,50,44,,466,58.25
14,Mississippi,68,71,72,69,38,37,51,56,,462,57.75
15,California,67,71,48,45,56,51,53,49,,440,55
16,Maryland,72,73,72,69,33,30,45,43,,437,54.63
17,Iowa,60,61,100,100,20,18,38,38,,435,54.38
18,Washington,74,77,64,60,38,36,40,38,,427,53.38
19,Oklahoma,57,58,64,59,29,29,57,64,,417,52.13
20,South Carolina,68,65,63,62,39,37,37,40,,411,51.38
21,Indiana,71,72,73,69,28,26,34,32,,405,50.63
22,Tennessee,63,65,67,64,31,28,42,42,,402,50.25
23,Illinois,60,60,66,64,32,28,46,44,,400,50
24,Ohio,70,71,70,69,26,24,32,30,,392,49
25,Kansas,66,65,71,70,24,22,31,32,,381,47.63
26,Michigan,61,61,61,59,29,27,34,34,,366,45.75
27,Colorado,61,63,64,60,26,24,32,29,,359,44.88
28,Delaware,58,60,55,54,27,23,37,38,,352,44
29,Minnesota,63,64,67,64,21,19,27,26,,351,43.88
30,Virginia,57,59,53,51,30,27,37,37,,351,43.88
31,Massachusetts,72,74,69,68,16,13,18,15,,345,43.13
32,Pennsylvania,64,67,59,57,23,20,28,25,,343,42.88
33,Connecticut,63,65,61,61,21,19,23,21,,334,41.75
34,Arkansas,51,52,53,49,27,25,36,36,,329,41.13
35,Wisconsin,58,59,64,63,17,15,26,24,,326,40.75
36,Vermont,63,63,54,58,19,17,22,19,,315,39.38
37,Kentucky,58,59,59,57,21,17,23,19,,313,39.13
38,New Hampshire,65,69,70,68,13,10,14,0,,309,38.63
39,Hawaii,51,53,44,39,25,22,35,33,,302,37.75
40,Rhode Island,54,53,64,61,19,16,18,15,,300,37.5
41,Utah,53,56,47,44,26,24,26,23,,299,37.38
42,Oregon,51,54,46,45,24,20,27,23,,290,36.25
43,New Mexico,46,45,47,45,21,18,28,27,,277,34.63
44,Nebraska,49,51,50,49,15,15,20,19,,268,33.5
45,Idaho,41,43,45,43,18,17,23,22,,252,31.5
46,West Virginia,51,54,56,58,14,12,0,0,,245,30.63
47,Maine,49,52,49,47,11,8,14,13,,243,30.38
48,Alaska,29,32,33,0,16,16,24,24,,174,21.75
49,South Dakota,37,37,48,47,0,0,0,0,,169,21.13
50,North Dakota,41,46,53,0,12,0,0,0,,152,19
51,Wyoming,42,44,0,0,0,0,0,0,,86,10.75
52,Montana,33,36,0,0,10,0,0,0,,79,9.88
53,,,,,,,,,,,,
54,,,,,,,,,,,,
55,,,,,,,,,,,,
56,,,,,,,,,,,,
57,,,,,,,,,,,,
58,,,,,,,,,,,,
59,,,,,,,,,,,,
60,,,,,,,,,,,,
61,,,,,,,,,,,,
62,,,,,,,,,,,,
63,,,,,,,,,,,,
64,,,,,,,,,,,,
65,,,,,,,,,,,,
66,,,,,,,,,,,,
67,,,,,,,,,,,,
68,,,,,,,,,,,,
69,,,,,,,,,,,,
70,,,,,,,,,,,,
71,,,,,,,,,,,,
72,,,,,,,,,,,,
73,,,,,,,,,,,,
74,,,,,,,,,,,,
75,,,,,,,,,,,,
76,,,,,,,,,,,,
77,,,,,,,,,,,,
78,,,,,,,,,,,,
79,,,,,,,,,,,,
80,,,,,,,,,,,,
81,,,,,,,,,,,,
82,,,,,,,,,,,,
83,,,,,,,,,,,,
84,,,,,,,,,,,,
85,,,,,,,,,,,,
86,,,,,,,,,,,,
87,,,,,,,,,,,,
88,,,,,,,,,,,,
89,,,,,,,,,,,,
90,,,,,,,,,,,,
91,,,,,,,,,,,,
92,,,,,,,,,,,,
93,,,,,,,,,,,,
94,,,,,,,,,,,,
95,,,,,,,,,,,,
96,,,,,,,,,,,,
97,,,,,,,,,,,,
98,,,,,,,,,,,,
99,,,,,,,,,,,,
100,,,,,,,,,,,,
